Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
A-,C-,A,E,B-,B,A,E,C-,E,A,B,D+,D,C+,D,B+,B-,B-,D,D-,D-,D+,A-,B+,C,"Communication, Building things","Creativity, Manual Dexterity, Leadership, Analytical Skills, Empathy",4
A-,C+,B,D-,C-,A,B,C,B+,D,C-,B,C-,C+,B-,D+,B+,A,B,C-,B+,C,A-,D,D,B-,"Analytical Skills, Building things","Research, Creativity, Leadership, Analytical Skills, Communication",4
D+,B-,D+,D+,A-,D+,C+,C-,C+,D+,C,C,C-,A,A,B,D+,B,A,A-,B,C+,D-,C-,B-,D-,"Art, Technology, Leadership","Leadership, Creativity, Problem Solving, Analytical Skills",4
A-,A-,D-,B,B+,B,B,A,D+,D-,E,A,D+,D-,B,B+,C-,C+,B,D+,A,B,C+,C+,C+,B-,"Art, Communication, Music, Programming","Communication, Problem Solving, Analytical Skills",4
A,D-,B,D,C+,D-,C+,C,A,B+,D-,B-,D-,C+,D-,C-,C,D-,D,C,D,D-,B+,D-,D+,B,"Communication, Music, Healthcare, Programming","Manual Dexterity, Empathy, Leadership, Analytical Skills",4
A,C+,C,B-,C+,B-,B,A-,D+,B,D,B-,C-,C,B+,B+,A,C+,B,C+,E,B-,B-,D-,D+,D,"Science, Leadership, Technology, Management","Research, Empathy, Leadership, Analytical Skills",4
A-,A-,D+,E,C,C+,A-,A,D+,D+,C-,A,B+,E,E,B+,A-,D,B+,D-,C+,B-,C-,D,B,D+,"Management, Analytical Skills, Building things","Communication, Logical Thinking, Leadership",4
B+,E,D-,B+,B-,C+,C+,C,A,B-,C+,B+,C-,A,C-,A-,A,C-,C,C+,D+,B-,C,D+,D+,C,"Healthcare, Analytical Skills, Management","Communication, Leadership, Analytical Skills",4
B-,A-,C,C,C-,D-,B,D,C,C,B-,C+,B-,A-,B,C,A-,D+,D-,A,B-,C+,B,B,C,B,"Art, Technology, Analytical Skills, Management","Communication, Leadership, Teamwork, Analytical Skills",4
D+,C,D-,C-,A-,C+,C-,D+,A,B+,C-,D-,B,C,C-,D,D+,C+,C+,C,B+,E,B,D,C+,B+,"Communication, Science, Sports","Communication, Manual Dexterity, Leadership",4
A-,D+,C+,A,D+,C+,D,C+,B,E,A,E,E,D-,C,D-,D,E,D,B-,C-,D-,C,B+,C-,B,"Communication, Healthcare","Teamwork, Problem Solving, Leadership, Analytical Skills, Communication",4
A-,B,E,C-,C,B-,B,E,D+,A,B-,D,A-,C+,D-,D,A-,A,B,A,B,E,A-,E,B+,C,"Programming, Leadership","Communication, Manual Dexterity, Analytical Skills",4
A-,C,C-,A,A,A,B-,D+,C+,C,D-,B,C+,D-,E,C,A-,A,B,D-,E,D,A-,D+,C,E,"Music, Science, Debating, Analytical Skills","Research, Manual Dexterity, Leadership, Analytical Skills",4
B+,D,E,C,D,C,E,B-,C+,B-,C,D+,D-,C-,A-,C+,B+,D-,C+,C,A,D,C,C,D+,B,"Communication, Science, Management","Leadership, Analytical Skills",4
B,D-,B,E,D-,B,D,D+,D,B,A-,E,A,E,C+,C,D+,B+,A,C-,A,B+,A,C,C+,B+,"Communication, Healthcare","Creativity, Leadership, Analytical Skills",4
A,C+,C+,D,D,C+,D+,A,D,D+,B,C+,D-,C-,B+,C+,B-,C-,C-,C,D+,B+,B,A-,E,B+,"Programming, Healthcare, Leadership","Communication, Leadership, Creativity, Teamwork",4
A-,D-,C+,D+,B,C+,B-,A-,C-,D,C-,C-,B,C-,C,D+,B-,B,C+,D,D-,E,C,E,C,C,"Communication, Healthcare, Technology","Leadership, Empathy, Teamwork, Analytical Skills",4
A-,C+,B-,C-,A,D+,D+,A-,C,D+,A,D,D,C,D-,B-,C-,E,D+,E,D+,C-,A,D,D+,E,"Art, Programming, Leadership, Building things","Communication, Creativity, Analytical Skills",4
C+,A,D+,B+,D-,B,B,D,A-,D,C-,D,C,B-,C,B,A-,C+,C-,B,C+,C-,D,E,C+,C,"Communication, Debating","Research, Communication, Manual Dexterity, Leadership",4
C-,E,D-,E,D,C,C,B,C,B,C+,D+,B+,B+,B-,D,A,A,D-,D-,D-,C,B-,A,D+,D,"Communication, Music, Debating","Communication, Problem Solving, Analytical Skills",4
D+,B+,B,B-,C+,C,D,D-,C+,C-,A,C,C+,E,E,D,A,A-,C+,E,D+,A,D,D+,B+,D,"Healthcare, Leadership, Management","Research, Communication, Creativity, Leadership",4
A-,D+,B-,E,A-,A-,D+,D-,B+,B,D,D+,B+,C,C-,A,B-,C,B,A-,A,E,D-,B-,A,D,"Science, Music, Leadership, Sports","Creativity, Problem Solving, Manual Dexterity, Analytical Skills, Communication",4
A,D,B,A,C,B,C-,E,A,B,A,B,D-,C-,D-,D+,B-,D-,C,B+,D-,A,C,B,C-,B-,"Debating, Leadership, Building things","Teamwork, Research, Problem Solving, Analytical Skills, Communication, Empathy",4
C+,D-,C+,D+,D-,D-,B,D,A,B+,D-,D,D-,E,E,C-,B-,B,B+,B-,B,A-,B,D,C,B+,"Art, Communication","Communication, Leadership, Teamwork",4
D,C+,C+,D-,A-,D-,C-,C-,D,C-,A-,B,D,B+,C-,E,A-,B+,C-,D-,C,E,B,D+,A,D,"Communication, Music","Leadership, Problem Solving, Analytical Skills",4
A,B-,C-,D-,B-,D+,C-,D,A,B,D,D,C-,B+,A,C+,B,A,C-,D+,D,B-,C+,C-,B-,C-,"Art, Analytical Skills","Communication, Teamwork, Analytical Skills",4
B,C-,D+,B,B+,E,B,D+,C-,C-,D-,B,B-,A-,C,B,A-,B-,D,E,C-,D+,B+,D,D,D+,"Healthcare, Programming, Leadership, Technology","Communication, Manual Dexterity, Empathy, Leadership",4
C+,C+,D,D,B+,D+,D-,B+,C+,A,C-,C+,C+,E,A-,D-,B+,B,A-,B-,A,D-,C-,B,A,C+,"Leadership, Sports","Communication, Manual Dexterity, Teamwork, Analytical Skills",4
A-,A-,C,D,C+,D-,A-,A-,D,C+,C+,A,B,D+,D-,D-,A-,C-,B-,D+,D-,D-,C,A-,C+,D+,"Healthcare, Communication, Programming, Management","Communication, Creativity, Teamwork, Analytical Skills",4
B-,B-,D+,B,A,D+,B-,C,E,B-,E,A,E,B,C-,A-,A-,A-,A-,D-,A,B,C+,C+,C+,D-,"Management, Debating, Leadership, Building things","Manual Dexterity, Leadership, Analytical Skills, Communication, Empathy",4
A,B-,B-,D-,C+,C,E,B,C,C+,C,A-,C-,C,B,C-,C-,A-,C-,C,B+,A,C-,B+,D+,D-,"Programming, Leadership, Sports","Communication, Problem Solving, Analytical Skills",4
B-,A,B,B+,E,B+,C-,C+,B,B-,C+,C-,C-,E,B,A,C-,D+,D-,C+,D-,A-,B-,D,E,D,"Music, Analytical Skills","Teamwork, Manual Dexterity, Leadership, Analytical Skills, Communication",4
C-,D+,C+,B,D+,E,A,D,D,B,B-,C+,A,A,B+,B,C-,E,C-,D-,A,B+,D+,C+,A,C+,"Communication, Music, Sports","Research, Communication, Empathy, Analytical Skills",4
A-,A-,D+,D-,D+,C,B+,D+,B,A,B,D-,B+,D-,D,B,D,A-,A,B+,C-,D+,A-,D,C-,A-,"Technology, Leadership, Sports","Creativity, Empathy, Leadership, Analytical Skills",4
B+,D+,D+,D+,D,B-,B-,C,C+,B-,C+,A-,B+,E,D,B-,C+,D,A,E,B,D+,A-,A-,A-,C+,"Technology, Leadership","Logical Thinking, Research, Leadership, Analytical Skills, Communication",4
A,C,B,E,D-,C,B+,A-,C+,C+,E,C,A,D+,C,B+,A-,C-,D+,A-,B,C+,D-,D+,B-,A,"Analytical Skills, Sports, Management","Communication, Creativity, Leadership, Analytical Skills",4
B-,B+,E,B+,D+,A-,D-,C,B+,B-,B-,D,B-,C,B+,A-,A-,A,D+,B+,D-,B,B-,D-,D-,B+,"Art, Healthcare, Analytical Skills, Management","Leadership, Empathy, Teamwork, Analytical Skills",4
B,A,C-,B,D+,E,A-,D-,D+,D-,A-,B+,C-,B,B-,A,D,D-,D+,D,E,E,B+,C,A,B+,"Debating, Analytical Skills, Building things","Communication, Empathy, Leadership, Analytical Skills",4
A,C-,B,E,A,C,D+,E,D+,C+,B-,B,B-,D-,D,A-,B-,A-,C,C,E,B+,C-,C+,C+,D,"Art, Communication, Debating","Logical Thinking, Research, Manual Dexterity, Leadership, Analytical Skills, Communication",4
B+,A-,B+,A,D,C,A,C+,C-,C+,D-,B+,D+,E,C+,C+,C-,C-,E,D,D,D+,A,D,A-,B,"Communication, Healthcare, Sports","Communication, Leadership, Problem Solving, Teamwork",4
B,D,A-,C-,D-,B-,A-,C+,C,E,B-,A-,C+,C-,E,D,A-,B,E,A-,B,B+,B,A,C+,A-,"Analytical Skills, Technology, Debating, Sports","Logical Thinking, Problem Solving, Leadership, Analytical Skills, Communication",4
B+,B,A,D-,A-,D+,B+,A-,A-,A-,D+,E,A-,A,C+,E,A-,B,A-,B+,D,A-,C-,B-,B-,C-,"Healthcare, Leadership","Communication, Leadership, Analytical Skills",4
B+,B-,D,A-,B-,B,A-,B+,D-,B,B,B-,D-,E,C,B-,B+,A-,A,A,E,D-,C+,A,B-,B-,"Music, Leadership","Creativity, Problem Solving, Leadership, Communication, Empathy",4
A-,A-,C,C,D-,B-,D+,D,B-,C+,E,A-,B,A-,B-,D+,B+,C-,B-,D-,C-,B+,A,B-,C,B+,"Music, Leadership","Research, Communication, Manual Dexterity, Analytical Skills",4
B-,D+,C-,C+,C,A-,C-,D-,A-,C-,D+,D-,C,D-,B-,D,C+,C-,A-,D,C-,A-,B+,A-,C-,D,"Communication, Debating, Sports, Management","Research, Leadership, Analytical Skills",4
B+,C-,A,D+,C,E,C,A-,B+,D+,B,D+,C,C-,A-,D,B+,C+,D,A,B,B+,A,C,D-,D-,"Communication, Science, Building things","Research, Creativity, Leadership, Analytical Skills, Communication",4
B,A-,C-,B,A,C,B+,C,D+,D,C+,A-,E,A-,C-,A,C+,E,B,B,B+,C-,B+,B-,B-,B+,"Debating, Analytical Skills, Management","Teamwork, Research, Leadership, Analytical Skills, Communication",4
B-,A-,D,C-,A,C-,C-,B,C,E,D,B,A,A-,B+,B-,A-,C-,A-,B+,D+,A-,E,C,B+,A,"Art, Communication, Science, Building things","Creativity, Manual Dexterity, Leadership, Analytical Skills, Communication",4
B+,A,D+,B+,B,B+,B,A-,B-,C+,A,B+,B,A-,B+,B-,A,B,D-,A,B,E,C,B+,D-,E,"Communication, Programming","Logical Thinking, Research, Manual Dexterity, Leadership, Analytical Skills, Communication",4
A-,E,E,C+,C,E,B+,C+,A-,D+,A,C+,A-,C-,D+,C-,D,C-,B-,C+,C,B,B,B-,C-,E,"Communication, Technology, Debating, Management","Communication, Logical Thinking, Leadership",4
D,C+,A-,E,C-,A,C+,C-,D,D,B+,B+,B,D-,A,D+,A-,C-,D+,B+,B+,A,B+,D,D-,A,"Science, Leadership","Creativity, Problem Solving, Leadership, Analytical Skills, Communication",4
A-,C-,B+,B,C,B-,D+,E,B,C+,C,A-,D-,C+,D,B,A,D-,A-,A,A,B-,B,C,C-,E,"Communication, Building things, Sports, Management","Manual Dexterity, Leadership, Analytical Skills",4
B,D+,C-,A-,E,D,C-,D-,B+,B,B+,D-,B,A,E,D,D,E,B,D,B+,A-,B-,C+,E,C-,"Art, Communication, Sports","Communication, Research, Teamwork, Analytical Skills",4
B-,C,B,A,B,C+,A-,C+,C+,A,D-,D,B+,D,B+,D+,C,E,A-,C+,C,D-,D,E,D+,A,"Leadership, Building things, Management","Problem Solving, Manual Dexterity, Leadership, Communication, Empathy",4
B+,A-,C+,B+,B+,C-,C+,D+,B,B+,B-,D+,B+,D,D-,D-,A-,D+,C,D,B+,D-,A-,D,C+,A,"Healthcare, Communication, Programming, Technology","Leadership, Analytical Skills",4
A-,D+,A,C,C,C,B-,D+,C,C,D-,C-,B-,C,C-,E,B-,C+,E,D+,C-,D+,D+,C+,B,A-,"Music, Leadership","Communication, Empathy, Analytical Skills",4
B+,D+,C+,E,D+,B+,D-,E,B+,E,C-,D+,D-,C-,A-,C-,B+,B-,D+,A-,E,C+,B,D+,C-,A,"Leadership, Building things","Research, Creativity, Leadership, Analytical Skills, Communication",4
B+,C-,B+,E,D-,D-,B+,C,B-,D-,C,A,A-,A,B-,C+,C+,C,C,D+,B,A-,C+,B+,D+,A,"Science, Healthcare, Leadership, Building things","Research, Leadership, Analytical Skills",4
B+,C-,E,D,D+,D-,E,C+,D,C-,C,A,C-,C-,B,B-,B+,C,B+,D+,B-,E,A,B+,C-,A-,"Science, Debating, Analytical Skills, Building things","Communication, Empathy, Analytical Skills",4
D+,E,C,C,D+,B+,C,C,D+,D,C,D+,A,A-,D+,B+,A,D-,D-,D+,C,B-,D-,D+,C-,C+,"Analytical Skills, Management","Communication, Empathy, Analytical Skills",4
C-,E,E,E,D,D+,B+,E,B-,A,D+,B,E,E,B+,C-,C-,A-,C,B,B+,D,D-,E,C,E,"Art, Communication, Technology, Management","Creativity, Empathy, Leadership, Analytical Skills",4
A,A-,A-,D-,A-,B+,A-,B,C,D+,E,D-,A,A-,A,B,B+,A,B+,A-,D-,C+,B+,A-,A,E,"Art, Communication, Programming, Building things","Communication, Leadership, Analytical Skills",4
B,B-,B+,C+,C-,C+,B-,C-,D,C,B+,D-,D-,B-,C+,C,B+,D-,B,B,C+,B+,E,B-,D+,D,"Science, Analytical Skills, Building things","Communication, Teamwork, Analytical Skills",4
B+,C+,C+,D-,A-,C,D,A-,D+,D-,C,C+,C,D,C,D+,C+,A,D+,B,D+,B+,C-,D-,B,C,"Technology, Analytical Skills","Research, Creativity, Leadership, Analytical Skills, Communication",4
C,B+,B+,A,A,B-,B-,B-,C,B,D,B-,B+,C-,D,B,A-,B+,B-,E,A-,D,C-,E,E,B+,"Art, Science, Healthcare, Analytical Skills","Logical Thinking, Teamwork, Problem Solving, Manual Dexterity, Analytical Skills, Communication",4
B-,B-,B-,C,A,C-,B,B,D-,C+,B,A,D,C,C,B-,A-,B+,D,D,E,D,B,B-,C,C-,"Healthcare, Science, Leadership, Management","Logical Thinking, Creativity, Manual Dexterity, Leadership, Analytical Skills, Communication",4
C+,C+,B-,E,E,D+,E,B+,B,D+,D,C+,D,B-,C-,C+,B+,A,E,C-,C,C+,C-,D,C-,E,"Leadership, Management","Research, Creativity, Leadership, Communication, Empathy",4
A,E,D-,C,C,D,B-,D-,A-,E,A,C-,C+,A,C+,A,A-,A,D-,A-,B-,B-,C+,B-,C-,E,"Debating, Analytical Skills, Building things","Leadership, Creativity, Problem Solving, Analytical Skills",4
B-,A,C+,D-,A,C+,E,C,E,E,D,B-,B,D,B-,C,A,B-,D,E,B+,E,D+,D,C-,C+,"Programming, Healthcare, Analytical Skills, Building things","Logical Thinking, Problem Solving, Leadership, Analytical Skills, Communication",4
D,C+,B+,E,B-,D,D+,C+,D+,B,D+,B-,D,B-,D,C,B-,D+,B,B+,C-,D-,A,D-,C+,B,"Science, Technology, Analytical Skills","Creativity, Problem Solving, Leadership, Analytical Skills, Communication",4
B-,A,B+,B,A,C,C,A-,D-,D,A-,C,C-,D-,A-,D+,A,E,C+,D-,C+,A-,C-,C-,B,D,"Communication, Science","Communication, Logical Thinking, Leadership",4
D+,D+,A-,D-,E,E,D-,D,D-,E,E,C,C+,C-,C+,B-,C-,A-,D,A,B-,A,A-,A-,C,D+,"Programming, Science, Technology, Leadership","Communication, Manual Dexterity, Leadership",4
A,E,B-,B+,B,D-,A,D,C-,B+,B,D,E,A,E,D,C+,D-,C,B,B+,B-,D-,D-,A-,B,"Science, Leadership, Management","Creativity, Leadership, Analytical Skills",4
B-,A,B+,C-,C,C-,C,B,C-,B+,B,D-,C,C-,E,B,D,D-,A-,C,E,D+,B-,E,A-,C-,"Programming, Analytical Skills, Building things","Communication, Creativity, Analytical Skills",4
A-,A-,A,D,D,E,B,E,C+,D,D-,B,C-,C,D-,C-,B+,E,C,A,A,C,B,C-,D-,C+,"Communication, Healthcare","Logical Thinking, Teamwork, Problem Solving, Leadership, Communication",4
A,B-,C,B-,B,D-,E,D-,D,B+,C-,B,C,D-,B,C+,D,B,A,B+,A,D+,A,A,B+,B+,"Art, Science, Programming, Analytical Skills","Communication, Leadership",4
A-,B-,C,D,A,D-,C-,C-,C+,C-,C-,D,D-,D,B+,E,B,C+,D,C-,C,E,B,C+,B+,B+,"Healthcare, Leadership","Communication, Logical Thinking, Analytical Skills",4
B+,C+,D+,A-,A,E,D+,B-,D-,B+,B+,C+,A-,E,A,A-,B+,D-,A-,B+,A,B+,D-,C,E,C+,"Art, Analytical Skills, Technology, Sports","Teamwork, Research, Creativity, Leadership, Analytical Skills",4
D,E,D,B-,B+,B,D+,A,E,B,B-,D-,D,C,D+,D-,A-,C,E,A,C+,D+,B-,A,B,D+,"Communication, Science, Building things","Logical Thinking, Teamwork, Manual Dexterity, Leadership, Communication",4
B-,E,C+,B+,E,B,B,D,D-,B+,C,A-,C,A-,D+,E,B+,A-,E,D+,C,A,C+,E,C+,C-,"Science, Programming, Analytical Skills, Management","Communication, Leadership, Analytical Skills",4
B-,C,B,A,C+,C,C,E,D+,D+,C+,B+,D,D,B-,B+,A,E,D-,B-,B,C,C+,C+,D+,C+,"Art, Communication","Creativity, Problem Solving, Leadership, Analytical Skills, Communication, Empathy",4
A-,E,B+,D-,A-,B-,B,D+,B-,C+,B-,D+,D-,A-,B+,D-,A,B+,D-,D+,C,B,D,B-,C-,D,"Art, Communication, Debating, Sports","Communication, Creativity, Analytical Skills",4
B+,A-,E,E,D,D+,B-,B,B+,E,E,B,C+,A,C+,B+,D+,C,C-,D+,C+,A,A,D+,D-,D-,"Programming, Science, Leadership, Technology","Communication, Leadership",4
C-,B-,C-,C+,B+,B,C,B-,D-,D-,D+,B,C-,B+,C,B,A,D-,D+,C-,C-,D-,A,C-,D+,C+,"Healthcare, Leadership, Building things","Communication, Logical Thinking, Analytical Skills",4
B+,C,A-,E,D-,B+,B-,B-,A,B+,E,E,B-,B,D,C,B-,A-,A-,C+,C-,C,B,B,C-,C+,"Healthcare, Analytical Skills, Science, Sports","Communication, Analytical Skills",4
C-,B,C,D+,E,C-,E,E,C-,D,C+,B-,C+,B,A,E,B-,D-,E,B+,B+,E,C+,A,C,B-,"Communication, Science, Programming","Communication, Creativity, Leadership",4
C+,B,B,A,D,E,A-,A,B,E,D-,A,D,D,A,C+,C,D,D-,B,B+,E,E,E,D+,D,"Science, Programming, Analytical Skills","Research, Communication, Problem Solving, Leadership",4
B,C,C,A-,B-,C,C,E,C,A,B,C-,A-,A,A-,A-,B+,C,A-,B+,B,D,B-,B,B-,D,"Art, Analytical Skills","Communication, Logical Thinking, Creativity, Analytical Skills",4
D+,B+,C-,B-,D-,D-,A-,D+,D,D-,C-,B-,D-,C,C+,D,D+,C,B-,C-,D,B-,B+,A,D+,B+,"Communication, Sports, Building things","Logical Thinking, Creativity, Manual Dexterity, Leadership, Communication",4
A-,D-,D-,C,E,D-,B-,D-,D+,B,B-,D-,C,C-,E,B+,A-,B-,B,A-,E,B,B,A-,A-,C,"Technology, Leadership","Communication, Leadership, Problem Solving",4
B-,E,A,C,D-,A-,E,C-,A,A-,C,C-,D-,B-,C-,E,B+,D+,B-,A,D-,B,C-,C-,C-,E,"Communication, Science","Teamwork, Manual Dexterity, Leadership, Analytical Skills, Communication",4
D,C,B+,B-,D-,C,B-,D,D,D+,D-,B+,B+,A-,D,B,A-,A-,B+,A,B-,B,A-,D,C+,D-,"Programming, Leadership, Sports","Communication, Empathy, Analytical Skills",4
A-,E,E,B-,A,D,B,B-,D-,C+,D+,D-,B-,C-,B+,A-,A,C-,D+,C+,A,C+,D+,C,B+,C+,"Communication, Science","Communication, Manual Dexterity, Leadership, Analytical Skills",4
A,B-,A-,B,B+,C,B,C+,A,C-,D-,C,B,D-,C+,B,A-,D,D-,A,B-,A,D,A-,D,B-,"Analytical Skills, Music, Debating, Sports","Communication, Research, Leadership, Analytical Skills",4
A-,B-,D+,B,B+,E,C+,B-,C,D+,B-,D-,D-,D-,D-,D-,B,A,B,A,B+,C-,C-,B,B-,D+,"Healthcare, Leadership, Science, Debating","Creativity, Manual Dexterity, Leadership, Communication, Empathy",4
B+,B-,D-,B-,C,A-,C,D,D+,B+,D,E,B,C+,D-,A-,A-,B,B-,C+,C-,C-,E,B-,A-,D-,"Science, Analytical Skills","Communication, Manual Dexterity, Leadership",4
B,A,A-,D-,A-,D+,B-,B+,C+,C-,C-,C-,D-,A-,B,C,A-,A-,B,D+,A,D,A,C+,B,B+,"Art, Communication","Research, Communication, Leadership, Analytical Skills",4
B,C+,D,D-,A-,D,E,D,B-,A-,B-,C-,C-,A-,C+,D+,B,D-,D+,C-,D-,D+,C,B-,B-,E,"Art, Debating, Analytical Skills","Creativity, Empathy, Leadership, Analytical Skills",4
A,D-,B+,D+,C+,C-,A,C+,B-,A,D+,C,B,A-,C,B+,A,D-,C,A,D+,E,D,D+,B+,D,"Analytical Skills, Music, Healthcare, Technology","Logical Thinking, Teamwork, Research, Creativity, Leadership, Analytical Skills",4
A-,D,A,C,C,B-,C+,C-,A-,A,C-,C-,D+,B-,C,B+,A,C-,B+,B-,B,C,E,A,B,A-,"Music, Programming, Leadership, Management","Communication, Manual Dexterity, Leadership",4
B,B-,D,A,D-,B,C-,D-,D-,D,D-,D-,B-,C+,B+,E,B,C+,A,D-,A,D,A-,B-,A,C,"Communication, Sports","Creativity, Leadership, Analytical Skills",4
B,D+,A-,C,C+,C-,B+,B+,D,A-,D-,E,D+,C+,B-,B+,D+,A-,C+,D-,D,E,D,D,D-,E,"Communication, Healthcare","Research, Leadership, Analytical Skills",4
A,B-,B-,D,B,D-,E,C+,C-,C+,C-,A,D+,C+,B,C,C+,A,A-,D-,E,D+,B,B-,B+,A-,"Analytical Skills, Building things","Research, Manual Dexterity, Leadership, Analytical Skills",4
D+,C-,D-,C+,C+,E,B,B-,B+,A,B,A,E,D,A-,E,A-,B,A,D-,E,B,C,C,D,C-,"Music, Technology, Analytical Skills","Research, Problem Solving, Manual Dexterity, Analytical Skills, Communication",4
A,A,A,C+,C-,A,C+,D,E,C+,A,B+,D-,C+,E,B-,B,D+,B+,C+,D,A-,D,B+,B+,C+,"Analytical Skills, Sports","Communication, Leadership, Manual Dexterity, Teamwork",4
A-,D,B,C+,C+,A-,C+,B,A,B+,A-,D-,B,B-,E,A,D,B-,D,A-,D+,B-,E,C+,C-,D-,"Art, Leadership","Logical Thinking, Creativity, Analytical Skills, Communication, Empathy",4
B+,A,A,B,E,C+,E,D,D,A,D,B-,B,D+,C-,B+,A-,C,D+,D-,E,A,E,A,D-,B-,"Art, Communication, Science, Building things","Research, Leadership, Analytical Skills, Communication, Empathy",4
C,E,D-,C-,D+,B-,C-,B+,B+,D+,D-,E,D-,D-,C,B+,C,D+,A,D,B,B+,D-,B+,C,D-,"Healthcare, Leadership","Leadership, Analytical Skills",4
A-,D-,C,E,C,E,C-,C-,D+,B,C+,D+,E,D-,A,C,A-,C-,C-,D+,B,D,B-,B-,E,B,"Music, Healthcare, Analytical Skills, Management","Logical Thinking, Research, Manual Dexterity, Analytical Skills, Communication, Empathy",4
B-,C-,B,D-,B,D-,A-,D-,E,C+,A-,C,E,C-,A,A,B,C,E,B+,C+,E,D+,B-,C-,C+,"Leadership, Sports, Management","Manual Dexterity, Leadership, Analytical Skills",4
A,A-,B+,C,A,D+,C+,E,C-,D-,C-,D,C-,D-,C,D+,D,B-,C+,B,B-,B-,B-,A,A,D-,"Leadership, Technology, Debating","Communication, Logical Thinking, Problem Solving, Analytical Skills",4
D+,B,B+,C+,D+,B,D,A,A,C-,A-,C+,C+,B-,D,B-,B,D,C-,C+,D-,E,C-,C,A-,A,"Communication, Music, Programming, Debating","Research, Leadership, Analytical Skills",4
B+,B+,D,C+,C,A-,D,E,D-,D+,E,A-,D-,B,B+,E,A,B,D,B+,B+,A,B-,C-,D+,B-,"Communication, Programming, Building things","Research, Creativity, Problem Solving, Leadership, Analytical Skills",4
A,B,B+,B,C,A,A-,C+,B,C-,D+,A-,D,B,E,C-,A-,C+,E,B-,A,C,C+,C,D+,B,"Art, Communication, Science, Management","Teamwork, Creativity, Problem Solving, Leadership, Communication, Empathy",4
A-,C-,A,D-,D,A-,C+,B-,B,D+,D+,D-,C,D-,B+,B+,B+,B-,C-,A-,B,C-,E,C+,B,D-,"Art, Debating, Analytical Skills, Management","Communication, Leadership, Manual Dexterity, Problem Solving",4
B+,A,C,B+,B-,B+,D-,E,D-,B-,A-,C-,C-,A-,A-,E,A,C,B,D+,B+,C+,D+,E,E,A-,"Communication, Technology","Communication, Empathy, Leadership, Analytical Skills",4
A,C,C+,B+,B+,E,D+,C-,E,D,B+,C,C-,C-,D+,D-,C,B+,C,B,C-,B-,D-,B+,D-,C+,"Leadership, Management","Research, Creativity, Leadership, Analytical Skills",4
A-,B+,C-,B-,B-,A,A-,E,C-,E,C+,C+,C+,B+,D,D+,B+,A-,B,A,C+,A,C+,A,B-,B-,"Communication, Science, Programming","Problem Solving, Manual Dexterity, Leadership, Analytical Skills, Empathy",4
A,E,A,C,A-,B,B,B-,A-,B+,D,A,C,B+,D+,B,C,B-,A-,A-,A,A-,D,D,B-,C-,"Art, Analytical Skills","Communication, Logical Thinking, Leadership",4
A,C,E,E,D-,B+,A-,D+,C,C-,C-,B,A-,D+,B+,C+,B+,D,C-,A,D,C+,B-,C+,D+,A-,"Music, Leadership, Sports","Research, Leadership, Analytical Skills, Teamwork",4
B-,C,C+,D-,D-,A,B-,A-,C+,D-,E,C+,B+,B+,A-,D-,B-,B-,D-,D+,B,B-,D-,C-,D,C+,"Communication, Music","Research, Leadership, Analytical Skills",4
A,E,D-,A,A-,D+,A-,C,D-,B,A,A,D-,C+,D+,D-,B-,B,C+,C+,D-,B+,D-,D,C,B-,"Debating, Analytical Skills, Management","Teamwork, Creativity, Leadership, Communication, Empathy",4
C+,E,D,A,E,B-,C+,C,E,D,D-,C+,C,D+,B-,A-,B+,E,C,D+,C+,B-,C-,C,C,D,"Art, Analytical Skills","Communication, Manual Dexterity, Analytical Skills",4
B-,A-,C,E,C,C,D-,C,B-,D-,C,B-,A,C,D,D,A,C-,B,C,E,A,C,E,C,B+,"Debating, Analytical Skills","Communication, Empathy, Analytical Skills",4
B+,B,B+,A-,D,E,A-,D,A-,B-,D+,D-,D,E,A,C,C-,D,B,A,B+,E,C+,C,E,C-,"Science, Leadership, Sports","Teamwork, Research, Creativity, Manual Dexterity, Analytical Skills, Communication",4
A,B-,C+,A-,C,D-,B+,B,D,D,D-,B-,C+,E,D,D,A-,D,E,D-,B+,D-,C-,C,D+,B,"Management, Analytical Skills, Building things","Communication, Leadership, Teamwork, Analytical Skills",4
A-,C-,C,D,B+,B-,A,B,D-,B-,C,E,D,E,C,D-,B-,B-,A,D+,B-,A-,D+,C,A,C,"Programming, Leadership","Logical Thinking, Research, Problem Solving, Leadership, Communication",4
A-,B+,C-,B+,D+,A,D,A,C,B+,D,D-,A,C,B-,C+,A,B+,C+,E,C-,D+,D,B+,A,B-,"Analytical Skills, Building things","Research, Creativity, Leadership, Analytical Skills, Communication",4
A-,E,A-,D+,D-,A,D+,A,B+,E,D-,C+,D+,C+,D-,A-,D+,A-,D-,A,C+,B+,D,C,D,B+,"Communication, Healthcare, Debating","Communication, Logical Thinking, Empathy, Leadership",4
B+,B+,C+,D+,B,D+,D,C,C+,E,C+,E,B-,C+,E,D-,D,B-,C+,B,B-,C-,C+,E,D,B+,"Art, Communication, Sports, Building things","Communication, Leadership, Analytical Skills",4
